Name,Fulladdress,Municipality,Categories,Time Zone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image
Sip & Spin LAUNDRY EXPRESS KELAPA GADING,"Jalan Biru Laut Barat blok A3D, Jl. Raya Klp. Gading Permai, Daerah Khusus Ibuko",Jl. Raya Klp. Gading Permai,Layanan Binatu,Asia/Jakarta,"0811-1322-288, +62 811-1322-288",YES,90.0,4.8,https://search.google.com/local/reviews?placeid=ChIJDUVUEfv1aS4R6VXNUUtvXv0&q=la,https://www.google.com/maps?cid=18257152308692211177,-6.1662661,106.9056503,None,None,"Minggu: [08.00-17.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPGbRlQchRSPbSsPhOcdIS_C5Waf5E149g2lnZm
Cleanlite Laundry Kelapa Gading,"Jl. Boulevard Raya, Blok TN II No.35, RT.10/RW.15, Klp. Gading Tim., Kec. Klp. G",Blok TN II No.35,Binatu,Asia/Jakarta,None,YES,4.0,4.5,https://search.google.com/local/reviews?placeid=ChIJOXWLD1X1aS4RvS9YRPMpzCU&q=la,https://www.google.com/maps?cid=2723597999452729277,-6.1659785,106.9016133,None,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipOWCGhoJNS051ERokU9a4gTmcJD2pYMOuw9NvBs
Flash Coin Laundry - Kelapa Gading ( Tarian Raya Barat ),"Jl. Tarian Raya Barat No.U7 9, RT.9/RW.7, Klp. Gading Tim., Jakarta, Jkt Utara, ","RT.9/RW.7, Klp. Gading Tim.",Binatu,Asia/Jakarta,"0877-8076-9822, +62 877-8076-9822",YES,27.0,3.6,https://search.google.com/local/reviews?placeid=ChIJST5wdtP1aS4RXj7R9RnwE2o&q=la,https://www.google.com/maps?cid=7643716986866843230,-6.1714625,106.9092086,https://www.facebook.com/FlashcoinlaundryIndonesia,facebook.com,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipNolacdyg1ZXEllsAnQo4AbiqauRrqnt7aGpZHN
Gemoy Laundry,"Jl. Raya Klp. Hybrida No.18/19 Blok PF, Pegangsaan Dua, Kec. Klp. Gading, Jkt Ut",Pegangsaan Dua,Layanan Binatu,Asia/Jakarta,"0811-1051-2088, +62 811-1051-2088",YES,4.0,4.3,https://search.google.com/local/reviews?placeid=ChIJ-R8uw-CLaS4RzdmAamMiUNs&q=la,https://www.google.com/maps?cid=15803168902827006413,-6.1487878,106.9140891,http://gemoylaundry.com/,gemoylaundry.com,"Minggu: [08.00-19.00], Senin: [08.00-19.00], Selasa: [08.00-19.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipP0fl1dMetjurzO8nU7YZBm8khdWHdkPqj4iLSB
Koja Laundry,"Jl. Lrg. 26 No.3, RT.3/RW.3, Koja, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota J","RT.3/RW.3, Koja",Binatu,Asia/Jakarta,"0898-5944-901, +62 898-5944-901",NO,None,None,None,https://www.google.com/maps?cid=7223679317815884989,-6.1104546,106.898908,None,None,"Minggu: [09.00-20.00], Senin: [09.00-20.00], Selasa: [09.00-20.00], Rabu: [09.00",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9TZyw6qg-8rZQALIo
Quick Pro Laundry Koja 2,"RT.7/RW.13, Lagoa, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14270",Kec. Koja,Layanan Binatu,Asia/Jakarta,"0812-7899-8982, +62 812-7899-8982",YES,13.0,4.4,https://search.google.com/local/reviews?placeid=ChIJS8GurZQfai4R7ZBU2toZHrA&q=la,https://www.google.com/maps?cid=12690609227733176557,-6.1168134,106.908009,http://quickprolaundry.com/,quickprolaundry.com,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipNzzSFEhXMaFDJgo0JOjY7jFEUVaHY_vZZfXLhM
Quick Pro Laundry Koja,"Jl. Lontar V No.1, RT.1, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota","RT.1, Tugu Utara",Layanan Binatu,Asia/Jakarta,None,NO,6.0,5.0,https://search.google.com/local/reviews?placeid=ChIJuXJwxuIfai4RovxfBWVrLWU&q=la,https://www.google.com/maps?cid=7290601453408746658,-6.1211047,106.9105045,http://quickprolaundry.com/,quickprolaundry.com,"Minggu: [07.00-23.00], Senin: [07.00-23.00], Selasa: [07.00-23.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipOKw6ef4ijOf5-NIJWpHAG6YZ0g8cBQMCfJUa1g
Laundry,"Jl. Mundu No.27 blok L, Lagoa, Kec. Koja, Jakarta, Daerah Khusus Ibukota Jakarta",Lagoa,Binatu,Asia/Jakarta,"0813-8451-8102, +62 813-8451-8102",YES,5.0,5.0,https://search.google.com/local/reviews?placeid=ChIJUfzkLYQfai4RmsyMk0mQFZY&q=la,https://www.google.com/maps?cid=10814708725882604698,-6.1181724,106.9067572,None,None,None,https://lh5.googleusercontent.com/p/AF1QipMM_oZfskSM6L4uYMwGb_fJF8-TIXGux8tyqYgs
Lilo Laundry Koja(Antar Jemput),"VW55+JQR, RT.3/RW.5, Tugu Sel., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jaka","RT.3/RW.5, Tugu Sel.",Binatu,Asia/Jakarta,None,NO,None,None,None,https://www.google.com/maps?cid=9013224132187597549,-6.1408925,106.9094325,None,None,None,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2CSs2KNZIGTBtnNn1
Mr. Laundry Jakarta Utara,"Jl. Muncang No.69 3, RT.3/RW.12, Lagoa, Kec. Koja, Jkt Utara, Daerah Khusus Ibuk","RT.3/RW.12, Lagoa",Binatu,Asia/Jakarta,"0813-3040-5070, +62 813-3040-5070",YES,None,None,None,https://www.google.com/maps?cid=7526073200719885118,-6.115827299999999,106.9075364,None,None,"Minggu: [10.00-21.00], Senin: [10.00-21.00], Selasa: [10.00-21.00], Rabu: [10.00",https://lh5.googleusercontent.com/p/AF1QipOG4SGFLZthKDp6iY4Ijqd6OuDa11GcOozDZKhq
Joss Laundry,"Jl. Mindi No.39 Blok O, RT.6/RW.6, Lagoa, Kec. Koja, Jkt Utara, Daerah Khusus Ib","RT.6/RW.6, Lagoa",Layanan Binatu,Asia/Jakarta,None,NO,21.0,3.9,https://search.google.com/local/reviews?placeid=ChIJ50ajGMcfai4Rfvk4Y3dy-rI&q=la,https://www.google.com/maps?cid=12896746340020189566,-6.1151405,106.9041069,None,None,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMoPhxf_-tmqPBJyJtpgVrtaA2ul0YfLp449SnS
Quick Pro Laundry Koja 3,"Jl. Cipeucang V No.2 No.4ART, RW.12, Koja, Kec. Koja, Jkt Utara, Daerah Khusus I","RW.12, Koja",Layanan Binatu,Asia/Jakarta,"0821-2582-2097, +62 821-2582-2097",NO,2.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ3-RM-Vkfai4RTSJGPd5vTnk&q=la,https://www.google.com/maps?cid=8741046927074140749,-6.1142616,106.9000553,http://quickprolaundry.com/,quickprolaundry.com,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipNdvik4Zphdb4tYs1oL3oiPeKZxczydPkh7bfIx
Wulan Laundry,"Blok C No., Gg. Damai No.22, RT.9/RW.5, Tugu Sel., Kec. Koja, Jkt Utara, Daerah ",Gg. Damai No.22,Binatu,Asia/Jakarta,"0877-8889-9805, +62 877-8889-9805",NO,8.0,4.4,https://search.google.com/local/reviews?placeid=ChIJ117QnVP1aS4RYzTZSRMlLLk&q=la,https://www.google.com/maps?cid=13343080560765514851,-6.139085499999999,106.9091766,None,None,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sim-sRLKprm44PQl6
ALPHA LAUNDRY KILOAN,"Jl. Walang Baru VIIA No.25 10, RT.10/RW.7, Tugu Utara, Kec. Koja, Jkt Utara, Dae","RT.10/RW.7, Tugu Utara",Binatu,Asia/Jakarta,None,NO,15.0,4.5,https://search.google.com/local/reviews?placeid=ChIJa_4Phfkfai4RypuwrXEmUGI&q=la,https://www.google.com/maps?cid=7084204483540982730,-6.1247169,106.9069833,None,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPYWFux_aQnNHTnU5wCcIE8yNu1frjZhHiFx5hd
Mari Laundry Pademangan,"Jalan Pademangan Raya III No.32 B, RT.9/RW.2, Pademangan Tim., Kec. Pademangan, ","RT.9/RW.2, Pademangan Tim.",Layanan Binatu,Asia/Jakarta,"0878-7177-0726, +62 878-7177-0726",YES,37.0,4.8,https://search.google.com/local/reviews?placeid=ChIJcyu1Z-_1aS4Rl0KRHMv_kSs&q=la,https://www.google.com/maps?cid=3139571663076672151,-6.142193,106.8395486,None,None,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipPQdvd8nU2etg5yzwFL3DXKYLeTv6AErkJcQLKa
Okaasan Laundry Pademangan,"Jl. Pademangan III Gg. 1, RT.4/RW.6, Pademangan Tim., Kec. Pademangan, Jkt Utara","RT.4/RW.6, Pademangan Tim.",Layanan Binatu,Asia/Jakarta,"0818-230-514, +62 818-230-514",YES,120.0,4.9,https://search.google.com/local/reviews?placeid=ChIJP7QgkW31aS4RtB5L-BkNAyU&q=la,https://www.google.com/maps?cid=2666989809524481716,-6.1422452,106.8402884,None,None,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipNsF2EqiP3HvfJsYD_WZMtkn5sg3vtRqQi8EHU3
Green Laundry,"5, Jl. Pademangan 3 raya No.26, RT.5/RW.6, Pademangan Tim., Kec. Pademangan, Jkt",Jl. Pademangan 3 raya No.26,Binatu,Asia/Jakarta,"0812-1018-9280, +62 812-1018-9280",YES,63.0,4.3,https://search.google.com/local/reviews?placeid=ChIJSaN3E8gfai4RZqvZlKwj1X0&q=la,https://www.google.com/maps?cid=9067192648919001958,-6.1419422,106.8403535,None,None,"Minggu: [10.00-14.00], Senin: [10.00-21.00], Selasa: [10.00-21.00], Rabu: [10.00",https://lh5.googleusercontent.com/p/AF1QipNpp8wNFum8eHeFtfhK1w4QqucwzndN1WtKclFn
Green Laundry Ampera,"Jl. Budi Mulia No.23, RT.5/RW.8, Pademangan Bar., Kec. Pademangan, Jkt Utara, Da","RT.5/RW.8, West Pademangan",Binatu,Asia/Jakarta,"0813-4008-0023, +62 813-4008-0023",YES,36.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ38zdJV_1aS4RafW5bied0ZY&q=la,https://www.google.com/maps?cid=10867640168508683625,-6.1361969,106.8351585,None,None,"Minggu: [10.00-14.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipOWp-vHZ3qM-Jj5IZqQm-HXRSmwi430ZjWCJkUR
Laundryklin Pademangan (laundry anter jemput jakarta utara)Patners Kliknklin,"Jalan Pademangan 3 raya Gang 18.256A 7, RT.5/RW.5, Pademangan Tim., Jkt Utara, D","RT.5/RW.5, Pademangan Tim.",Binatu,Asia/Jakarta,"0812-9684-7506, +62 812-9684-7506",YES,26.0,4.7,https://search.google.com/local/reviews?placeid=ChIJAUusP6L1aS4R980gOWc3Er0&q=la,https://www.google.com/maps?cid=13624012739228782071,-6.1376501,106.8426455,http://shopee.co.id/fstyle.jakarta_utara,shopee.co.id,"Minggu: [09.00-22.00], Senin: [09.00-21.00], Selasa: [09.00-21.00], Rabu: [09.00",https://lh5.googleusercontent.com/p/AF1QipNBBSzR95qcFAj7s51RTPdd7JWV7_eL1TBKs2-q
Dokter Clean Laundry 2 Rusunami | Laundry Antar Jemput | Laundry Express 5 Jam J,"Jl Rajawali Utara. 18, Lantai 2 No.11 Tower A4, Pademangan Tim., Kec. Pademangan",Lantai 2 No.11 Tower A4,Binatu,Asia/Jakarta,"0811-3870-5000, +62 811-3870-5000",YES,59.0,4.8,https://search.google.com/local/reviews?placeid=ChIJ70jo1AP1aS4RhxRrOoI0bxI&q=la,https://www.google.com/maps?cid=1328338149028074631,-6.1387871,106.8461369,None,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipNKoUKB9izKj-VQupWKguMo-CMXGwcduvKMBAmg
Laundry KlinBar Pademangan 1,"Jl. Pademangan I Gg. 11 No.34A, Pademangan Tim., Kec. Pademangan, Jkt Utara, Dae",East Pademangan,Binatu,Asia/Jakarta,"0812-8666-2923, +62 812-8666-2923",YES,35.0,4.9,https://search.google.com/local/reviews?placeid=ChIJgdD6iUr1aS4R7NRtAUUvZms&q=la,https://www.google.com/maps?cid=7738924983106000108,-6.1408555,106.8437733,https://klinbar.id/,klinbar.id,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipMAepzWF2RbOPu_QoauTnWplJAa08i6ppVpSRbY
Dokter Clean Pademangan | Laundry Express Jakarta | Laundry Antar Jemput,"Jl. Pademangan IV Gg. 18 No.1C, Pademangan Tim., Kec. Pademangan, Jkt Utara, Dae",Pademangan Tim.,"Layanan Binatu, Binatu",Asia/Jakarta,"0813-6110-6020, +62 813-6110-6020",YES,32.0,4.2,https://search.google.com/local/reviews?placeid=ChIJqU7pZ9b1aS4RQf0p9RRS3VI&q=la,https://www.google.com/maps?cid=5971018930929139009,-6.1371664,106.8417911,None,None,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMzWDKcpUSkKKVBMfeG24p9nfiDiUk98HgatyQM
Laundry Zone,"Gg. 22 No.29 2, RT.2/RW.2, RT.II, Pademangan Tim., Kec. Pademangan, Jkt Utara, D","RT.2/RW.2, RT.II, Pademangan Tim.","Layanan Binatu, Binatu",Asia/Jakarta,"0856-9293-9299, +62 856-9293-9299",YES,22.0,4.1,https://search.google.com/local/reviews?placeid=ChIJxYNo6Yr1aS4Rq0WWorMdVVI&q=la,https://www.google.com/maps?cid=5932680741494605227,-6.136696199999999,106.8431846,None,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPrIAkQmIueusvG0lYEjDuQu1fc3E9NC5wwmdZn
Mars laundry exspress,"VR2P+RJV, Jl. Gn. Sahari, RT.1/RW.13, Pademangan Bar., Kecamatan Sawah Besar, Jk",Jl. Gn. Sahari,Layanan Binatu,Asia/Jakarta,None,NO,28.0,5.0,https://search.google.com/local/reviews?placeid=ChIJAck-J5v1aS4ROSJMVXSKaQM&q=la,https://www.google.com/maps?cid=245879886920294969,-6.1478758,106.8365515,None,None,None,https://lh5.googleusercontent.com/p/AF1QipN1afbQ_-DlirLsANAFnVyyzStg_xLIuyMmzTeH
Sugababy Laundry Pluit,"Jl. Taman Pluit Kencana Selatan No.35, RT.4/RW.6, Pluit, Kec. Penjaringan, Jkt U","RT.4/RW.6, Pluit",Layanan Binatu,Asia/Jakarta,"0811-8129-817, +62 811-8129-817",YES,49.0,4.7,https://search.google.com/local/reviews?placeid=ChIJV9XDGlcdai4R2LiD4cfMVKA&q=la,https://www.google.com/maps?cid=11553084102966229208,-6.1206748,106.7898261,None,None,"Minggu: [09.00-18.00], Senin: [09.00-21.00], Selasa: [09.00-21.00], Rabu: [09.00",https://lh5.googleusercontent.com/p/AF1QipPBNQ2PUewHpleyLjZUlag2DoroPYc_mTJfV6ha
Laundry Dekat Rumah,"Jembatan dua, Jl. Sinar Budi No.7, RT.7/RW.4, Pejagalan, Penjaringan, North Jaka",Jl. Sinar Budi No.7,Layanan Binatu,Asia/Jakarta,"0888-5383-838, +62 888-5383-838",YES,62.0,5.0,https://search.google.com/local/reviews?placeid=ChIJp7poN633aS4RypaMfyagyxo&q=la,https://www.google.com/maps?cid=1930812952467510986,-6.1412505,106.7915811,None,None,"Minggu: [10.00-18.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipN3GiN-yNdmeoRog42o7KEdPV-pQYLW9OI5VKk=
Eljo Laundry,"Jl. Sukarela No.6 9, RT.9/RW.9, Penjaringan, Kec. Penjaringan, Jkt Utara, Daerah","RT.9/RW.9, Penjaringan",Binatu,Asia/Jakarta,"0877-8239-7989, +62 877-8239-7989",NO,15.0,5.0,https://search.google.com/local/reviews?placeid=ChIJP6RDON0dai4R7ZhET1PkLsM&q=la,https://www.google.com/maps?cid=14064429732787951853,-6.1307125,106.8019711,None,None,"Minggu: [14.00-18.00], Senin: [08.00-18.00], Selasa: [08.00-18.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipNTGx6drxxPRP2t8xDHrLOskaSJ7_6DX3ammB4A
De Cleaner Laundry & Dry clean,"Jl. Pluit Sakti No.111 4, RT.4/RW.6, Pluit, Kec. Penjaringan, Jkt Utara, Daerah ","RT.4/RW.6, Pluit","Layanan Binatu, Binatu Cucian Kering",Asia/Jakarta,"0895-0111-7889, +62 895-0111-7889",YES,31.0,3.9,https://search.google.com/local/reviews?placeid=ChIJ62Ne4ZMdai4Ru7Fn_d2SMMU&q=la,https://www.google.com/maps?cid=14209018306490773947,-6.122429,106.78855,None,None,"Minggu: [Tutup], Senin: [08.00-19.00], Selasa: [08.00-19.00], Rabu: [08.00-19.00",https://lh5.googleusercontent.com/p/AF1QipOMVHdw7v-Pui1we-UVcD2iA1oZTyqXY_SCnkg6
Cotton Button Laundry,"Jl. Jemb. Dua Raya Jl. Sinar Budi No.20, RT.8/RW.4, Pejagalan, Kec. Penjaringan,","RT.8/RW.4, Pejagalan",Layanan Binatu,Asia/Jakarta,"0878-6558-3815, +62 878-6558-3815",YES,45.0,5.0,https://search.google.com/local/reviews?placeid=ChIJQxeOanf3aS4Ro6nupsrq1wE&q=la,https://www.google.com/maps?cid=132832870135671203,-6.1417173,106.7915727,https://wa.me/message/26YDY6J362PYO1,wa.me,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipO-Zzpt4csoVQGOcYYtyFcAqaJjsLbSpvYghRE9
JEEVES - Pluit,"Jalan Pluit Putri Raya Blok E No. 2, RT.17/RW.6, Pluit, Kec. Penjaringan, Jkt Ut","RT.17/RW.6, Pluit","Binatu Cucian Kering, Layanan Binatu",Asia/Jakarta,"(021) 26080090, +62 21 26080090",YES,26.0,4.7,https://search.google.com/local/reviews?placeid=ChIJI3GI45Idai4RLA2yZEuS_fU&q=la,https://www.google.com/maps?cid=17725484560909733164,-6.120398,106.7923002,https://www.jeeves-indonesia.com/,jeeves-indonesia.com,"Minggu: [Tutup], Senin: [08.00-18.00], Selasa: [08.00-18.00], Rabu: [08.00-18.00",https://lh5.googleusercontent.com/p/AF1QipOyzcKZtLdiV8mH9UyEl-k62P6IHc61fpDYdMXl
Cepat Laundry,"no.04b, Jl. Rw. Bebek Samping pos No.10, RT.4/RW.10, Penjaringan, Kec. Penjaring",Jl. Rw. Bebek Samping pos No.10,Binatu,Asia/Jakarta,"0817-7924-8980, +62 817-7924-8980",YES,9.0,5.0,https://search.google.com/local/reviews?placeid=ChIJpe9je9z3aS4RdnhxR1i8zTo&q=la,https://www.google.com/maps?cid=4237249911767267446,-6.131151099999999,106.8019552,None,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPywQc89bh21IVLZsQI5enV4Lw3uai4UZPb0aPz
Laundry City,"Jl. Tanah Pasir Dalam No.6, RT.1/RW.9, Penjaringan, Kec. Penjaringan, Jkt Utara,","RT.1/RW.9, Penjaringan",Binatu,Asia/Jakarta,"0812-9000-8359, +62 812-9000-8359",YES,18.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ2QBWhrcdai4R-EZyC8nY4Go&q=la,https://www.google.com/maps?cid=7701393720795612920,-6.1297296,106.8037877,None,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipP27v4LpwEVp7gXKVVwtyEPNp-gI7x6eIkaj_Mh
Laundry Terdekat,"Jl. Masda 1 No.12C, RT.5/RW.9, Pejagalan, Kec. Penjaringan, Jkt Utara, Daerah Kh","RT.5/RW.9, Pejagalan",Layanan Binatu,Asia/Jakarta,"0859-5998-6864, +62 859-5998-6864",YES,29.0,5.0,https://search.google.com/local/reviews?placeid=ChIJwxDKRYT3aS4RizYWlh47ulw&q=la,https://www.google.com/maps?cid=6681717999710647947,-6.136973299999999,106.783176,None,None,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMWKltSAkxMHSvLSSo6rgQqWqYCV99nGgUa_tmO
Swanz Laundry,"5, Jl. Aladin Baru No.2B, RT.5/RW.6, Pejagalan, Kec. Penjaringan, Jkt Utara, Dae",Jl. Aladin Baru No.2B,Binatu Cucian Kering,Asia/Jakarta,"0823-7007-7889, +62 823-7007-7889",NO,13.0,5.0,https://search.google.com/local/reviews?placeid=ChIJq7QC9lj3aS4RsKMklPPWSAM&q=la,https://www.google.com/maps?cid=236675322087777200,-6.1428093,106.7879111,None,None,"Minggu: [07.00-19.00], Senin: [07.00-19.00], Selasa: [07.00-19.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipNdiaX7K3prJkZpPwok7OAh1OArDlgDhBE5V1Bg
B.O.S LAUNDRY JAKARTA UTARA,"9, Jl. H. Mawar kel No.003, RT.9/RW.7, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, D",Jl. H. Mawar kel No.003,Layanan Binatu,Asia/Jakarta,"0812-1896-9929, +62 812-1896-9929",YES,52.0,4.9,https://search.google.com/local/reviews?placeid=ChIJR9C2aHn1aS4RkxjYBVRndSk&q=la,https://www.google.com/maps?cid=2987407538403154067,-6.155475099999999,106.8693941,https://boslaundry.business.site/?utm_source=gmb&utm_medium=referral,boslaundry.business.site,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ",https://lh5.googleusercontent.com/p/AF1QipOooHHQ91tRX-GUxqi5oYj_0aO-6OG-76zvpGgB
Yudhistira Laundry,"No Tanjung Priok, Jl. Warakas Raya No.61, RT.11/RW.7, Warakas, Jakarta Utara, DK",Jl. Warakas Raya No.61,Binatu,Asia/Jakarta,"0838-9627-4525, +62 838-9627-4525",YES,34.0,4.6,https://search.google.com/local/reviews?placeid=ChIJ190FVdsfai4RwHwwSeaMiBA&q=la,https://www.google.com/maps?cid=1191357022137777344,-6.123901999999999,106.8827542,None,None,"Minggu: [08.00-22.00], Senin: [08.00-22.00], Selasa: [08.00-22.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipO_u_OzbWJAyYVVwSo2snh1HE5zT1Kr8rZN28Pt
Doma Laundry,"11, Jl. Swadaya No.04 A, RT.11/RW.5, Kb. Bawang, Kec. Tj. Priok, Jkt Utara, Daer",Jl. Swadaya No.04 A,Layanan Binatu,Asia/Jakarta,"0812-8860-6029, +62 812-8860-6029",YES,28.0,4.8,https://search.google.com/local/reviews?placeid=ChIJp5VHwOsfai4RhV6TDVfYp-8&q=la,https://www.google.com/maps?cid=17269009164576972421,-6.1194665,106.8898692,None,None,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipPDfrlg96gPrIHjgULH69Hc0DfzU6lFIZ66JoWP
Beehive Laundry Kiloan Sunter - Jakarta Utara,"Jl. Danau Sunter Utara No.7, RT.5/RW.18, Sunter Agung, Kec. Tj. Priok, Jkt Utara","RT.5/RW.18, Sunter Agung",Layanan Binatu,Asia/Jakarta,"0877-1333-7999, +62 877-1333-7999",YES,131.0,4.7,https://search.google.com/local/reviews?placeid=ChIJp_Y3Seb1aS4RcFznD8jcIxA&q=la,https://www.google.com/maps?cid=1163015880610110576,-6.138287999999999,106.8654741,None,None,"Minggu: [Tutup], Senin: [08.00-19.00], Selasa: [08.00-19.00], Rabu: [08.00-19.00",https://lh5.googleusercontent.com/p/AF1QipO992pPLBiJcD2L31uh9mMcJ2ENd0_44sn6YYGN
JOSS Laundry Bugis,"18, Jl. Bugis No.7, RT.18/RW.2, Kb. Bawang, Kec. Tj. Priok, Jkt Utara, Daerah Kh",Jl. Bugis No.7,Layanan Binatu,Asia/Jakarta,"0812-1241-9542, +62 812-1241-9542",YES,49.0,4.0,https://search.google.com/local/reviews?placeid=ChIJD8q6wqwfai4RmDsICs2FyGU&q=la,https://www.google.com/maps?cid=7334259108855954328,-6.1154775,106.8852002,None,None,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipOa53SI8L-C_OrANPezAmtEniIZwRc2l7BXMtFl
Mari Laundry Swasembada,"Jl. Swasembada Barat XIV No 73 Kebon Bawang. Tg. Priok 2 5, RT.7/RW.14, Kb. Bawa","RT.7/RW.14, Kb. Bawang",Binatu,Asia/Jakarta,"0818-0752-3331, +62 818-0752-3331",YES,28.0,4.4,https://search.google.com/local/reviews?placeid=ChIJVe4ndKgfai4Rl-kw5SC0lP8&q=la,https://www.google.com/maps?cid=18416542829601941911,-6.121442099999999,106.8885783,None,None,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipOEaTT6eL16DqgnnnXiMiIwZfqbAKhuSmLYYBCa
Edelwosh Laundry Sunter,"Jl. Ancol Selatan No.29B, RT.2/RW.7, Sunter Agung, Kec. Tj. Priok, Jakarta, Daer","RT.2/RW.7, Sunter Agung","Layanan Binatu, Binatu Cucian Kering, Binatu",Asia/Jakarta,"0813-1964-5859, +62 813-1964-5859",YES,60.0,4.9,https://search.google.com/local/reviews?placeid=ChIJBch2vFAfai4Rl77-SdOltsI&q=la,https://www.google.com/maps?cid=14030584016017473175,-6.1310557,106.8563786,None,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipNujqdmpNzA6FPuklYAAb9QbTtNA2VL5K9nbtVm
