Name,Fulladdress,Categories,phone,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Opening Hours,Featured Image
Gemoy Laundry,"Jl. Raya Klp. Hybrida No.18/19 Blok PF, Pegangsaan Dua, Kec. Klp. Gading, Jkt Ut",Layanan Binatu,+62 811-1051-2088,46,5.0,https://search.google.com/local/reviews?placeid=ChIJ-R8uw-CLaS4RzdmAamMiUNs&q=la,https://www.google.com/maps?cid=15803168902827006413,-6.1487878,106.9140891,http://gemoylaundry.com/,"Minggu: [08.00-19.00], Senin: [08.00-19.00], Selasa: [08.00-19.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipP0fl1dMetjurzO8nU7YZBm8khdWHdkPqj4iLSB
Koja Laundry,"Jl. Lrg. 26 No.3, RT.3/RW.3, Koja, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota J",Binatu,+62 898-5944-901,3,5.0,None,https://www.google.com/maps?cid=7223679317815884989,-6.1104546,106.898908,None,"Minggu: [09.00-20.00], Senin: [09.00-20.00], Selasa: [09.00-20.00], Rabu: [09.00",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9TZyw6qg-8rZQALIo
Quick Pro Laundry Koja 2,"RT.7/RW.13, Lagoa, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14270",Layanan Binatu,+62 812-7899-8982,23,4.9,https://search.google.com/local/reviews?placeid=ChIJS8GurZQfai4R7ZBU2toZHrA&q=la,https://www.google.com/maps?cid=12690609227733176557,-6.1168134,106.908009,http://quickprolaundry.com/,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipNzzSFEhXMaFDJgo0JOjY7jFEUVaHY_vZZfXLhM
Quick Pro Laundry Koja,"Jl. Lontar V No.1, RT.1, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota",Layanan Binatu,None,25,5.0,https://search.google.com/local/reviews?placeid=ChIJuXJwxuIfai4RovxfBWVrLWU&q=la,https://www.google.com/maps?cid=7290601453408746658,-6.1211047,106.9105045,http://quickprolaundry.com/,"Minggu: [07.00-23.00], Senin: [07.00-23.00], Selasa: [07.00-23.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipOKw6ef4ijOf5-NIJWpHAG6YZ0g8cBQMCfJUa1g
Laundry,"Jl. Mundu No.27 blok L, Lagoa, Kec. Koja, Jakarta, Daerah Khusus Ibukota Jakarta",Binatu,+62 813-8451-8102,294,5.0,https://search.google.com/local/reviews?placeid=ChIJUfzkLYQfai4RmsyMk0mQFZY&q=la,https://www.google.com/maps?cid=10814708725882604698,-6.1181724,106.9067572,None,None,https://lh5.googleusercontent.com/p/AF1QipMM_oZfskSM6L4uYMwGb_fJF8-TIXGux8tyqYgs
Lilo Laundry Koja(Antar Jemput),"VW55+JQR, RT.3/RW.5, Tugu Sel., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jaka",Binatu,None,33,5.0,None,https://www.google.com/maps?cid=9013224132187597549,-6.1408925,106.9094325,None,None,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2CSs2KNZIGTBtnNn1
Mr. Laundry Jakarta Utara,"Jl. Muncang No.69 3, RT.3/RW.12, Lagoa, Kec. Koja, Jkt Utara, Daerah Khusus Ibuk",Binatu,+62 813-3040-5070,32,5.0,None,https://www.google.com/maps?cid=7526073200719885118,-6.115827299999999,106.9075364,None,"Minggu: [10.00-21.00], Senin: [10.00-21.00], Selasa: [10.00-21.00], Rabu: [10.00",https://lh5.googleusercontent.com/p/AF1QipOG4SGFLZthKDp6iY4Ijqd6OuDa11GcOozDZKhq
Joss Laundry,"Jl. Mindi No.39 Blok O, RT.6/RW.6, Lagoa, Kec. Koja, Jkt Utara, Daerah Khusus Ib",Layanan Binatu,None,133,4.9,https://search.google.com/local/reviews?placeid=ChIJ50ajGMcfai4Rfvk4Y3dy-rI&q=la,https://www.google.com/maps?cid=12896746340020189566,-6.1151405,106.9041069,None,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMoPhxf_-tmqPBJyJtpgVrtaA2ul0YfLp449SnS
Quick Pro Laundry Koja 3,"Jl. Cipeucang V No.2 No.4ART, RW.12, Koja, Kec. Koja, Jkt Utara, Daerah Khusus I",Layanan Binatu,+62 821-2582-2097,20,5.0,https://search.google.com/local/reviews?placeid=ChIJ3-RM-Vkfai4RTSJGPd5vTnk&q=la,https://www.google.com/maps?cid=8741046927074140749,-6.1142616,106.9000553,http://quickprolaundry.com/,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipNdvik4Zphdb4tYs1oL3oiPeKZxczydPkh7bfIx
Wulan Laundry,"Blok C No., Gg. Damai No.22, RT.9/RW.5, Tugu Sel., Kec. Koja, Jkt Utara, Daerah ",Binatu,+62 877-8889-9805,2,5.0,https://search.google.com/local/reviews?placeid=ChIJ117QnVP1aS4RYzTZSRMlLLk&q=la,https://www.google.com/maps?cid=13343080560765514851,-6.139085499999999,106.9091766,None,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sim-sRLKprm44PQl6
ALPHA LAUNDRY KILOAN,"Jl. Walang Baru VIIA No.25 10, RT.10/RW.7, Tugu Utara, Kec. Koja, Jkt Utara, Dae",Binatu,None,89,5.0,https://search.google.com/local/reviews?placeid=ChIJa_4Phfkfai4RypuwrXEmUGI&q=la,https://www.google.com/maps?cid=7084204483540982730,-6.1247169,106.9069833,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPYWFux_aQnNHTnU5wCcIE8yNu1frjZhHiFx5hd
Mari Laundry Pademangan,"Jalan Pademangan Raya III No.32 B, RT.9/RW.2, Pademangan Tim., Kec. Pademangan, ",Layanan Binatu,+62 878-7177-0726,69,4.5,https://search.google.com/local/reviews?placeid=ChIJcyu1Z-_1aS4Rl0KRHMv_kSs&q=la,https://www.google.com/maps?cid=3139571663076672151,-6.142193,106.8395486,None,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipPQdvd8nU2etg5yzwFL3DXKYLeTv6AErkJcQLKa
Okaasan Laundry Pademangan,"Jl. Pademangan III Gg. 1, RT.4/RW.6, Pademangan Tim., Kec. Pademangan, Jkt Utara",Layanan Binatu,+62 818-230-514,85,4.8,https://search.google.com/local/reviews?placeid=ChIJP7QgkW31aS4RtB5L-BkNAyU&q=la,https://www.google.com/maps?cid=2666989809524481716,-6.1422452,106.8402884,None,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipNsF2EqiP3HvfJsYD_WZMtkn5sg3vtRqQi8EHU3
Green Laundry,"5, Jl. Pademangan 3 raya No.26, RT.5/RW.6, Pademangan Tim., Kec. Pademangan, Jkt",Binatu,+62 812-1018-9280,43,5.0,https://search.google.com/local/reviews?placeid=ChIJSaN3E8gfai4RZqvZlKwj1X0&q=la,https://www.google.com/maps?cid=9067192648919001958,-6.1419422,106.8403535,None,"Minggu: [10.00-14.00], Senin: [10.00-21.00], Selasa: [10.00-21.00], Rabu: [10.00",https://lh5.googleusercontent.com/p/AF1QipNpp8wNFum8eHeFtfhK1w4QqucwzndN1WtKclFn
Green Laundry Ampera,"Jl. Budi Mulia No.23, RT.5/RW.8, Pademangan Bar., Kec. Pademangan, Jkt Utara, Da",Binatu,+62 813-4008-0023,17,5.0,https://search.google.com/local/reviews?placeid=ChIJ38zdJV_1aS4RafW5bied0ZY&q=la,https://www.google.com/maps?cid=10867640168508683625,-6.1361969,106.8351585,None,"Minggu: [10.00-14.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipOWp-vHZ3qM-Jj5IZqQm-HXRSmwi430ZjWCJkUR
Laundryklin Pademangan (laundry anter jemput jakarta utara)Patners Kliknklin,"Jalan Pademangan 3 raya Gang 18.256A 7, RT.5/RW.5, Pademangan Tim., Jkt Utara, D",Binatu,+62 812-9684-7506,87,4.9,https://search.google.com/local/reviews?placeid=ChIJAUusP6L1aS4R980gOWc3Er0&q=la,https://www.google.com/maps?cid=13624012739228782071,-6.1376501,106.8426455,http://shopee.co.id/fstyle.jakarta_utara,"Minggu: [09.00-22.00], Senin: [09.00-21.00], Selasa: [09.00-21.00], Rabu: [09.00",https://lh5.googleusercontent.com/p/AF1QipNBBSzR95qcFAj7s51RTPdd7JWV7_eL1TBKs2-q
Dokter Clean Laundry 2 Rusunami | Laundry Antar Jemput | Laundry Express 5 Jam J,"Jl Rajawali Utara. 18, Lantai 2 No.11 Tower A4, Pademangan Tim., Kec. Pademangan",Binatu,+62 811-3870-5000,26,4.5,https://search.google.com/local/reviews?placeid=ChIJ70jo1AP1aS4RhxRrOoI0bxI&q=la,https://www.google.com/maps?cid=1328338149028074631,-6.1387871,106.8461369,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipNKoUKB9izKj-VQupWKguMo-CMXGwcduvKMBAmg
Laundry KlinBar Pademangan 1,"Jl. Pademangan I Gg. 11 No.34A, Pademangan Tim., Kec. Pademangan, Jkt Utara, Dae",Binatu,+62 812-8666-2923,1,5.0,https://search.google.com/local/reviews?placeid=ChIJgdD6iUr1aS4R7NRtAUUvZms&q=la,https://www.google.com/maps?cid=7738924983106000108,-6.1408555,106.8437733,https://klinbar.id/,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipMAepzWF2RbOPu_QoauTnWplJAa08i6ppVpSRbY
Dokter Clean Pademangan | Laundry Express Jakarta | Laundry Antar Jemput,"Jl. Pademangan IV Gg. 18 No.1C, Pademangan Tim., Kec. Pademangan, Jkt Utara, Dae","Layanan Binatu, Binatu",+62 813-6110-6020,4,5.0,https://search.google.com/local/reviews?placeid=ChIJqU7pZ9b1aS4RQf0p9RRS3VI&q=la,https://www.google.com/maps?cid=5971018930929139009,-6.1371664,106.8417911,None,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMzWDKcpUSkKKVBMfeG24p9nfiDiUk98HgatyQM
Laundry Zone,"Gg. 22 No.29 2, RT.2/RW.2, RT.II, Pademangan Tim., Kec. Pademangan, Jkt Utara, D","Layanan Binatu, Binatu",+62 856-9293-9299,40,5.0,https://search.google.com/local/reviews?placeid=ChIJxYNo6Yr1aS4Rq0WWorMdVVI&q=la,https://www.google.com/maps?cid=5932680741494605227,-6.136696199999999,106.8431846,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPrIAkQmIueusvG0lYEjDuQu1fc3E9NC5wwmdZn
Mars laundry exspress,"VR2P+RJV, Jl. Gn. Sahari, RT.1/RW.13, Pademangan Bar., Kecamatan Sawah Besar, Jk",Layanan Binatu,None,66,4.9,https://search.google.com/local/reviews?placeid=ChIJAck-J5v1aS4ROSJMVXSKaQM&q=la,https://www.google.com/maps?cid=245879886920294969,-6.1478758,106.8365515,None,None,https://lh5.googleusercontent.com/p/AF1QipN1afbQ_-DlirLsANAFnVyyzStg_xLIuyMmzTeH
Sugababy Laundry Pluit,"Jl. Taman Pluit Kencana Selatan No.35, RT.4/RW.6, Pluit, Kec. Penjaringan, Jkt U",Layanan Binatu,+62 811-8129-817,2,5.0,https://search.google.com/local/reviews?placeid=ChIJV9XDGlcdai4R2LiD4cfMVKA&q=la,https://www.google.com/maps?cid=11553084102966229208,-6.1206748,106.7898261,None,"Minggu: [09.00-18.00], Senin: [09.00-21.00], Selasa: [09.00-21.00], Rabu: [09.00",https://lh5.googleusercontent.com/p/AF1QipPBNQ2PUewHpleyLjZUlag2DoroPYc_mTJfV6ha
Laundry Dekat Rumah,"Jembatan dua, Jl. Sinar Budi No.7, RT.7/RW.4, Pejagalan, Penjaringan, North Jaka",Layanan Binatu,+62 888-5383-838,3,5.0,https://search.google.com/local/reviews?placeid=ChIJp7poN633aS4RypaMfyagyxo&q=la,https://www.google.com/maps?cid=1930812952467510986,-6.1412505,106.7915811,None,"Minggu: [10.00-18.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipN3GiN-yNdmeoRog42o7KEdPV-pQYLW9OI5VKk=
Eljo Laundry,"Jl. Sukarela No.6 9, RT.9/RW.9, Penjaringan, Kec. Penjaringan, Jkt Utara, Daerah",Binatu,+62 877-8239-7989,2,5.0,https://search.google.com/local/reviews?placeid=ChIJP6RDON0dai4R7ZhET1PkLsM&q=la,https://www.google.com/maps?cid=14064429732787951853,-6.1307125,106.8019711,None,"Minggu: [14.00-18.00], Senin: [08.00-18.00], Selasa: [08.00-18.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipNTGx6drxxPRP2t8xDHrLOskaSJ7_6DX3ammB4A
De Cleaner Laundry & Dry clean,"Jl. Pluit Sakti No.111 4, RT.4/RW.6, Pluit, Kec. Penjaringan, Jkt Utara, Daerah ","Layanan Binatu, Binatu Cucian Kering",+62 895-0111-7889,1,5.0,https://search.google.com/local/reviews?placeid=ChIJ62Ne4ZMdai4Ru7Fn_d2SMMU&q=la,https://www.google.com/maps?cid=14209018306490773947,-6.122429,106.78855,None,"Minggu: [Tutup], Senin: [08.00-19.00], Selasa: [08.00-19.00], Rabu: [08.00-19.00",https://lh5.googleusercontent.com/p/AF1QipOMVHdw7v-Pui1we-UVcD2iA1oZTyqXY_SCnkg6
Cotton Button Laundry,"Jl. Jemb. Dua Raya Jl. Sinar Budi No.20, RT.8/RW.4, Pejagalan, Kec. Penjaringan,",Layanan Binatu,+62 878-6558-3815,1,5.0,https://search.google.com/local/reviews?placeid=ChIJQxeOanf3aS4Ro6nupsrq1wE&q=la,https://www.google.com/maps?cid=132832870135671203,-6.1417173,106.7915727,https://wa.me/message/26YDY6J362PYO1,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipO-Zzpt4csoVQGOcYYtyFcAqaJjsLbSpvYghRE9
JEEVES - Pluit,"Jalan Pluit Putri Raya Blok E No. 2, RT.17/RW.6, Pluit, Kec. Penjaringan, Jkt Ut","Binatu Cucian Kering, Layanan Binatu",+62 21 26080090,31,4.5,https://search.google.com/local/reviews?placeid=ChIJI3GI45Idai4RLA2yZEuS_fU&q=la,https://www.google.com/maps?cid=17725484560909733164,-6.120398,106.7923002,https://www.jeeves-indonesia.com/,"Minggu: [Tutup], Senin: [08.00-18.00], Selasa: [08.00-18.00], Rabu: [08.00-18.00",https://lh5.googleusercontent.com/p/AF1QipOyzcKZtLdiV8mH9UyEl-k62P6IHc61fpDYdMXl
Cepat Laundry,"no.04b, Jl. Rw. Bebek Samping pos No.10, RT.4/RW.10, Penjaringan, Kec. Penjaring",Binatu,+62 817-7924-8980,15,5.0,https://search.google.com/local/reviews?placeid=ChIJpe9je9z3aS4RdnhxR1i8zTo&q=la,https://www.google.com/maps?cid=4237249911767267446,-6.131151099999999,106.8019552,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPywQc89bh21IVLZsQI5enV4Lw3uai4UZPb0aPz
Laundry City,"Jl. Tanah Pasir Dalam No.6, RT.1/RW.9, Penjaringan, Kec. Penjaringan, Jkt Utara,",Binatu,+62 812-9000-8359,1,5.0,https://search.google.com/local/reviews?placeid=ChIJ2QBWhrcdai4R-EZyC8nY4Go&q=la,https://www.google.com/maps?cid=7701393720795612920,-6.1297296,106.8037877,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipP27v4LpwEVp7gXKVVwtyEPNp-gI7x6eIkaj_Mh
Laundry Terdekat,"Jl. Masda 1 No.12C, RT.5/RW.9, Pejagalan, Kec. Penjaringan, Jkt Utara, Daerah Kh",Layanan Binatu,+62 859-5998-6864,2,5.0,https://search.google.com/local/reviews?placeid=ChIJwxDKRYT3aS4RizYWlh47ulw&q=la,https://www.google.com/maps?cid=6681717999710647947,-6.136973299999999,106.783176,None,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMWKltSAkxMHSvLSSo6rgQqWqYCV99nGgUa_tmO
Swanz Laundry,"5, Jl. Aladin Baru No.2B, RT.5/RW.6, Pejagalan, Kec. Penjaringan, Jkt Utara, Dae",Binatu Cucian Kering,+62 823-7007-7889,2,5.0,https://search.google.com/local/reviews?placeid=ChIJq7QC9lj3aS4RsKMklPPWSAM&q=la,https://www.google.com/maps?cid=236675322087777200,-6.1428093,106.7879111,None,"Minggu: [07.00-19.00], Senin: [07.00-19.00], Selasa: [07.00-19.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipNdiaX7K3prJkZpPwok7OAh1OArDlgDhBE5V1Bg
B.O.S LAUNDRY JAKARTA UTARA,"9, Jl. H. Mawar kel No.003, RT.9/RW.7, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, D",Layanan Binatu,+62 812-1896-9929,2,4.5,https://search.google.com/local/reviews?placeid=ChIJR9C2aHn1aS4RkxjYBVRndSk&q=la,https://www.google.com/maps?cid=2987407538403154067,-6.155475099999999,106.8693941,https://boslaundry.business.site/?utm_source=gmb&utm_medium=referral,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ",https://lh5.googleusercontent.com/p/AF1QipOooHHQ91tRX-GUxqi5oYj_0aO-6OG-76zvpGgB
Yudhistira Laundry,"No Tanjung Priok, Jl. Warakas Raya No.61, RT.11/RW.7, Warakas, Jakarta Utara, DK",Binatu,+62 838-9627-4525,24,2.5,https://search.google.com/local/reviews?placeid=ChIJ190FVdsfai4RwHwwSeaMiBA&q=la,https://www.google.com/maps?cid=1191357022137777344,-6.123901999999999,106.8827542,None,"Minggu: [08.00-22.00], Senin: [08.00-22.00], Selasa: [08.00-22.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipO_u_OzbWJAyYVVwSo2snh1HE5zT1Kr8rZN28Pt
Doma Laundry,"11, Jl. Swadaya No.04 A, RT.11/RW.5, Kb. Bawang, Kec. Tj. Priok, Jkt Utara, Daer",Layanan Binatu,+62 812-8860-6029,12,4.6,https://search.google.com/local/reviews?placeid=ChIJp5VHwOsfai4RhV6TDVfYp-8&q=la,https://www.google.com/maps?cid=17269009164576972421,-6.1194665,106.8898692,None,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipPDfrlg96gPrIHjgULH69Hc0DfzU6lFIZ66JoWP
Beehive Laundry Kiloan Sunter - Jakarta Utara,"Jl. Danau Sunter Utara No.7, RT.5/RW.18, Sunter Agung, Kec. Tj. Priok, Jkt Utara",Layanan Binatu,+62 877-1333-7999,10,5.0,https://search.google.com/local/reviews?placeid=ChIJp_Y3Seb1aS4RcFznD8jcIxA&q=la,https://www.google.com/maps?cid=1163015880610110576,-6.138287999999999,106.8654741,None,"Minggu: [Tutup], Senin: [08.00-19.00], Selasa: [08.00-19.00], Rabu: [08.00-19.00",https://lh5.googleusercontent.com/p/AF1QipO992pPLBiJcD2L31uh9mMcJ2ENd0_44sn6YYGN
JOSS Laundry Bugis,"18, Jl. Bugis No.7, RT.18/RW.2, Kb. Bawang, Kec. Tj. Priok, Jkt Utara, Daerah Kh",Layanan Binatu,+62 812-1241-9542,2,5.0,https://search.google.com/local/reviews?placeid=ChIJD8q6wqwfai4RmDsICs2FyGU&q=la,https://www.google.com/maps?cid=7334259108855954328,-6.1154775,106.8852002,None,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipOa53SI8L-C_OrANPezAmtEniIZwRc2l7BXMtFl
Mari Laundry Swasembada,"Jl. Swasembada Barat XIV No 73 Kebon Bawang. Tg. Priok 2 5, RT.7/RW.14, Kb. Bawa",Binatu,+62 818-0752-3331,3,4.7,https://search.google.com/local/reviews?placeid=ChIJVe4ndKgfai4Rl-kw5SC0lP8&q=la,https://www.google.com/maps?cid=18416542829601941911,-6.121442099999999,106.8885783,None,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipOEaTT6eL16DqgnnnXiMiIwZfqbAKhuSmLYYBCa
Edelwosh Laundry Sunter,"Jl. Ancol Selatan No.29B, RT.2/RW.7, Sunter Agung, Kec. Tj. Priok, Jakarta, Daer","Layanan Binatu, Binatu Cucian Kering, Binatu",+62 813-1964-5859,169,5.0,https://search.google.com/local/reviews?placeid=ChIJBch2vFAfai4Rl77-SdOltsI&q=la,https://www.google.com/maps?cid=14030584016017473175,-6.1310557,106.8563786,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipNujqdmpNzA6FPuklYAAb9QbTtNA2VL5K9nbtVm
Laundry'in,"Blok BA1, Jl. Danau Sunter Utara No.8, RT.1/RW.10, Danau Sunter Utara, Kec. Tj. ","Layanan Binatu, Binatu Cucian Kering",+62 21 39703000,2,5.0,https://search.google.com/local/reviews?placeid=ChIJO_8nUVr1aS4RWp60WTdNYh0&q=la,https://www.google.com/maps?cid=2117339674941103706,-6.1400628,106.858713,http://laundryin.info/?utm_source=gmb&utm_medium=referral,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPPRKcetzvEYOXvXCg_U-HwAVdMQYQM-RCZI1Sw
D'VARA LAUNDRY,"Jl. Bugis No.15, RT.6/RW.6, Kb. Bawang, Kec. Tj. Priok, Jkt Utara, Daerah Khusus",Layanan Binatu,+62 812-1007-1860,123,5.0,https://search.google.com/local/reviews?placeid=ChIJKyVEJHYfai4RjnKr66uPBIo&q=la,https://www.google.com/maps?cid=9945231845696959118,-6.1158465,106.8914008,None,"Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.00-20.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipN3t-P0cunXANWPXnx_Hqq8K1Rao9x06Wq0J8hG
Bravo Charlie Laundry 2,"Jl. Mindi blok 0, Gg. IV No.40 rt 005/006, RT.9/RW.6, Lagoa, Kec. Tj. Priok, Jak",Layanan Binatu,+62 856-2540-781,11,4.8,https://search.google.com/local/reviews?placeid=ChIJbSLTepb1aS4RSwLQSxtpJo8&q=la,https://www.google.com/maps?cid=10315047562495656523,-6.1151189,106.9042487,None,"Minggu: [06.00-21.00], Senin: [06.00-21.00], Selasa: [06.00-21.00], Rabu: [06.00",https://lh5.googleusercontent.com/p/AF1QipOLtI-bXPxfHqFVQCYBGXrUlz5v-pcH-rKw328Y
Barokah laundry,"Jl. Al-Akhyar Kayu Tinggi, Cakung Tim., Kec. Cakung, Jakarta, Daerah Khusus Ibuk",Layanan Binatu,+62 877-7710-8085,68,4.9,https://search.google.com/local/reviews?placeid=ChIJ8_WTTw6LaS4Rp0KKZec2sXU&q=la,https://www.google.com/maps?cid=8480619940784259751,-6.1814789,106.9457345,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipOFTVazkDtfZI_AvxSNySEXNOqq_5g2svv9gepV
Laundry Care,"Jl pulogebang permai, no43f, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Daera",Binatu,+62 878-7512-2601,13,4.5,https://search.google.com/local/reviews?placeid=ChIJZT4eSHSLaS4R_AVZIhjO6l8&q=la,https://www.google.com/maps?cid=6911563181204243964,-6.196541799999999,106.9558014,http://wa.me/+6287875122601,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipPsdXiogK3TU9_PW0Yspgcv0QD-PIvBdcKxoVA=
Kireiwash  Kirei Wash & Beyond - Jakarta Garden City (JGC),"Ruko Cleon Park, Jl. Jkt Garden City Boulevard No. 12, RT.7/RW.9, Cakung Tim., K",Binatu,+62 811-9677-706,21,4.8,https://search.google.com/local/reviews?placeid=ChIJa2SdckCLaS4RJ2nlYvdD8Gg&q=la,https://www.google.com/maps?cid=7561618504150247719,-6.1758183,106.9552815,http://www.kireiwash.com/,"Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.00-20.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMjYrva9EKHprS2dG28CE65Foz0LUiFOoyQG5WR
LaundryKlin Penggilingan,"Jl. Amalia No.74, RT.1/RW.6, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daer","Layanan Binatu, Binatu",+62 811-2306-664,278,4.9,https://search.google.com/local/reviews?placeid=ChIJASdGBRKLaS4R7vo6cIYDab4&q=la,https://www.google.com/maps?cid=13720501615704341230,-6.2087297,106.935638,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPv14PyUWGT01gUMsU8zkyJ_6Zgzs_St7Vih5dz
Laundry Kiloan dan Satuan Pulo Gebang (Voryclean Laundry Services),"Jl. Raya Pulo Gebang No.34, RT.14/RW.4, Ujung Menteng, Kec. Cakung, Kota Jakarta",Binatu,+62 812-6888-1357,1,5.0,https://search.google.com/local/reviews?placeid=ChIJd8jcDEGLaS4RLeOihuoC4xQ&q=la,https://www.google.com/maps?cid=1505049906776302381,-6.191263999999999,106.9588762,http://linktr.ee/voryclean,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPlreTIUKX8ClxzkJVb39SyVxvw-9vny6bd9o2r
Mega Laundry,"Jl. Amalia No.69 1, RT.1/RW.6, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Da",Binatu,+62 813-8739-9808,1,5.0,https://search.google.com/local/reviews?placeid=ChIJKfoj-2iLaS4R8SLul6ilXFU&q=la,https://www.google.com/maps?cid=6150973334603309809,-6.2089707,106.9344942,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPW-6qwZaS4LLFzpZe2tjOCfbBu7yMYFQ6R1vOb
