Name,Fulladdress,Municipality,Categories,Time Zone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image
D4 LAUNDRY,"Jl. Babakan Ciparay No.132, Sukahaji, Kec. Babakan Ciparay, Kota Bandung, Jawa B",Sukahaji,Binatu,Asia/Jakarta,"0895-1771-3111, +62 895-1771-3111",YES,50.0,4.3,https://search.google.com/local/reviews?placeid=ChIJ_y7qjpPpaC4ROPE-szzXRTQ&q=la,https://www.google.com/maps?cid=3766653319070544184,-6.9331406,107.5846818,None,None,"Sabtu: [08.00-20.00], Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipNR5TJA2qW5KGDhpik1rtgrP9M6kLucLjfI4vVC
Flass Laundry Caringin Bandung,"Jl. Caringin No.118, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung, Jawa B",Babakan Ciparay,Binatu,Asia/Jakarta,"0813-9003-0038, +62 813-9003-0038",YES,21.0,4.1,https://search.google.com/local/reviews?placeid=ChIJ-3R5Bi7paC4RldOcKHZRu9k&q=la,https://www.google.com/maps?cid=15689223294804611989,-6.9451378,107.5825865,https://wa.me/6281390030038,wa.me,"Sabtu: [07.00-21.00], Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipPg3k_w8nsMXhy5ishanP7zLlsONTVAnc6H0DID
Laundry Papa Caringin,"Jl. Caringin, Babakan, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40223",Babakan,Binatu,Asia/Jakarta,None,YES,31.0,4.4,https://search.google.com/local/reviews?placeid=ChIJ7RZ7-pfvaC4RjE71mx7Tp3o&q=la,https://www.google.com/maps?cid=8838264922156912268,-6.9435045,107.573152,None,None,"Sabtu: [07.00-21.00], Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipN6v5wfzYchNTW_-o0_BtcpuSaTe1gcbjQA7p2I
Green Laundry,"Jl. Babakan Ciparay No.332, Babakan Ciparay, Kec. Bojongloa Kaler, Kota Bandung,",Babakan Ciparay,Binatu,Asia/Jakarta,None,NO,30.0,3.7,https://search.google.com/local/reviews?placeid=ChIJrQgfPLfoaC4RHglg2qU_2eQ&q=la,https://www.google.com/maps?cid=16490281492159662366,-6.945678,107.584267,None,None,"Sabtu: [06.30-19.00], Minggu: [06.30-19.00], Senin: [06.30-19.00], Selasa: [06.3",https://lh5.googleusercontent.com/p/AF1QipNOClmjqHQcwkyPfpEzCbFlYh3wpWJSuP4YmhMJ
Rena Laundry,"Jl cibolerang 219 margasuka rt 001/008, Margasuka, Kec. Babakan Ciparay, Kota Ba",Margasuka,Binatu,Asia/Jakarta,"0895-3728-29922, +62 895-3728-29922",YES,16.0,4.8,https://search.google.com/local/reviews?placeid=ChIJy7hQ2uvvaC4Rktd_0eWmqAY&q=la,https://www.google.com/maps?cid=479816866307495826,-6.949885999999999,107.570219,https://g.co/kgs/UN13kn,g.co,"Sabtu: [08.00-22.00], Minggu: [08.00-22.00], Senin: [08.00-22.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipMIsyKqjnIHuWHqeTob5R2EIpTrMuQmNxNJtqh5
Cai-Clean Laundry,"Jl. Margajaya I Komplek Cibolerang Indah No.10, RT.01/RW.05, Margahayu Utara, Ke","RT.01/RW.05, Margahayu Utara",Jasa Pembersihan,Asia/Jakarta,None,NO,2.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ3aFtoMroaC4RaHY2FXlCgQA&q=la,https://www.google.com/maps?cid=36383359810041448,-6.950158999999999,107.57558,None,None,None,https://lh5.googleusercontent.com/p/AF1QipOAZbWQziSPF6YoHTGEbW8LlL8nRp5znZV_BzBp
Bubbles Laundry,"Jl. Caringin No.32, Babakan, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 4022",Babakan,Layanan Binatu,Asia/Jakarta,"0851-7508-9982, +62 851-7508-9982",YES,2.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ19OOyQ_paC4RiZ06E82NIw4&q=la,https://www.google.com/maps?cid=1018813852646284681,-6.9464767,107.5868425,None,None,"Sabtu: [07.00-19.00], Minggu: [07.00-19.00], Senin: [07.00-19.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipNnYbjLFTIFkQuMErzivvT5fBFinuRcyok2BCze
Warung laundry express,"Jl. Raya Kopo Gg. A. Sutisna No.34, Cirangrang, Kec. Babakan Ciparay, Kota Bandu",Cirangrang,Layanan Binatu,Asia/Jakarta,"0823-1818-9458, +62 823-1818-9458",YES,2.0,5.0,https://search.google.com/local/reviews?placeid=ChIJKwt4dwDpaC4Rc-6vQXtE28U&q=la,https://www.google.com/maps?cid=14257064341545152115,-6.9530594,107.5853789,None,None,None,https://lh5.googleusercontent.com/p/AF1QipOZUEdpQnKwIaLZ7z-Xf7YC9ySF4DbbEMpolqbr
Sorcha Laundry Batununggal,"Jl. Suka Ati Raya No.14, Pasirluyu, Kec. Regol, Kota Bandung, Jawa Barat 40254",Pasirluyu,Binatu,Asia/Jakarta,"0811-1111-2731, +62 811-1111-2731",YES,660.0,4.9,https://search.google.com/local/reviews?placeid=ChIJK__bE0PpaC4RJ96m47T4EDc&q=la,https://www.google.com/maps?cid=3967944727510572583,-6.9519163,107.6215393,http://sorchalaundry.com/,sorchalaundry.com,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipPXG_bBV3B315VLljj40mGnU3h0hK7c7zrNLkTY
aQualis Laundry & Green Dry Clean - Griya Yogya Batu Nunggal,"Jl. Batununggal Indah Raya Griya No.1 No. 21, Batununggal, Kec. Batununggal, Kot",Batununggal,Layanan Binatu,Asia/Jakarta,"0812-2408-8804, +62 812-2408-8804",YES,80.0,4.9,https://search.google.com/local/reviews?placeid=ChIJyTh0T63paC4RsPgn3f6i-LE&q=la,https://www.google.com/maps?cid=12824179154453264560,-6.9532962,107.6279055,http://www.aqualisfabricare.com/,aqualisfabricare.com,"Sabtu: [08.00-21.00], Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipPFprZ-vl05mB0i5qGwx5lCBjE3mJzg6f0ZQRqj
Click Pick Laundry - Laundry antar jemput Batununggal,"Jl. Batu Indah VI No.27A, Batununggal, Kec. Bandung Kidul, Kota Bandung, Jawa Ba",Batununggal,"Layanan Binatu, Jasa Pembersih Karpet, Binatu Cucian Kering, Binatu, Jasa Semir ",Asia/Jakarta,"0877-9777-3131, +62 877-9777-3131",YES,23.0,4.8,https://search.google.com/local/reviews?placeid=ChIJ01QiC8TpaC4RjWL5hfMCZXE&q=la,https://www.google.com/maps?cid=8170940343881654925,-6.954141099999999,107.6332082,https://www.instagram.com/clickpicklaundry/,instagram.com,"Sabtu: [07.00-17.00], Minggu: [Tutup], Senin: [07.00-17.00], Selasa: [07.00-17.0",https://lh5.googleusercontent.com/p/AF1QipM0tInW8kuCrD1O4FBF1jVoudFrTB06gGbm7p9Q
Laundry Zone Batununggal,"Jl. Batununggal Indah Raya No.65, Batununggal, Kec. Bandung Kidul, Kota Bandung,",Batununggal,"Layanan Binatu, Binatu Cucian Kering, Binatu",Asia/Jakarta,"0896-3045-6868, +62 896-3045-6868",YES,58.0,4.9,https://search.google.com/local/reviews?placeid=ChIJVwO2VtbpaC4RM0rQGbRBHWo&q=la,https://www.google.com/maps?cid=7646339984127969843,-6.9532221,107.6249002,https://laundryzone.id/,laundryzone.id,"Sabtu: [07.30-18.00], Minggu: [07.30-18.00], Senin: [07.30-18.00], Selasa: [07.3",https://lh5.googleusercontent.com/p/AF1QipN4O8lSE4-iglSBSkbeVqK65mZEEm9y2VSUV8Qx
Raundry Laundry,"Jl. Sekelimus Utara No.103, Batununggal, Kec. Bandung Kidul, Kota Bandung, Jawa ",Batununggal,Layanan Binatu,Asia/Jakarta,"0817-388-172, +62 817-388-172",YES,23.0,4.7,https://search.google.com/local/reviews?placeid=ChIJnfN0-kPoaC4RtrY2_LTzkxo&q=la,https://www.google.com/maps?cid=1915142225213699766,-6.952714299999999,107.6386862,None,None,"Sabtu: [08.00-20.00], Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipPsdC__2dcKypmpQbuG6XhqUNwJog40FaHM4Emv
Fresh Clean Laundry Bandung,"Jl. Cijawura Hilir No.14, Cijaura, Kec. Buahbatu, Kota Bandung, Jawa Barat 40287",Cijaura,Binatu,Asia/Jakarta,"0896-5662-3999, +62 896-5662-3999",YES,77.0,4.9,https://search.google.com/local/reviews?placeid=ChIJmSGkAB7paC4RveW4jZrNiK8&q=la,https://www.google.com/maps?cid=12648585617156400573,-6.9615855,107.6580182,http://freshcleanlaundrybandung.blogspot.com/,freshcleanlaundrybandung.blogspot.com,"Sabtu: [07.00-19.00], Minggu: [07.00-19.00], Senin: [07.00-19.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipNUIlioobRgeJ2Yf6NLOpApldnZ-usdd64b27oQ
Briwash Laundry Express - Mekarwangi,"Jl. Mekar Puspita No.39 B, Cibaduyut, Kec. Bojongloa Kidul, Kota Bandung, Jawa B",Cibaduyut,Layanan Binatu,Asia/Jakarta,"0851-7971-6134, +62 851-7971-6134",YES,436.0,4.9,https://search.google.com/local/reviews?placeid=ChIJtW-R8DDpaC4RIYcwDk0MVvc&q=la,https://www.google.com/maps?cid=17822446100455393057,-6.9515274,107.5983547,https://briwash.id/,briwash.id,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipMPABZ76rmC3qKIEAfzIc2_c6xuwS15J0sbscNA
Premium & Hygienic Laundry (P H Laundry) l Kota Bandung,"Jl. RD Rangga Kencana No.5, Mekarwangi, Kec. Bojongloa Kidul, Kota Bandung, Jawa",Mekarwangi,"Layanan Binatu, Binatu Cucian Kering, Binatu",Asia/Jakarta,"0878-1110-7999, +62 878-1110-7999",YES,147.0,4.8,https://search.google.com/local/reviews?placeid=ChIJ9cUKcTnpaC4Rg6jMvCHLzm4&q=la,https://www.google.com/maps?cid=7984542535136356483,-6.952946,107.5997016,https://premium-hygienic-laundry-p-h-laundry.business.site/?utm_source=gmb&utm_m,business.site,"Sabtu: [08.00-18.00], Minggu: [Tutup], Senin: [08.00-18.30], Selasa: [08.00-18.3",https://lh5.googleusercontent.com/p/AF1QipPHj--lmc3W6sL9WZ2dLANAuPq8VaCWCYjdddJu
Sorcha Laundry Buah Batu (Laundry Antar Jemput Bandung),"Jl. Jati Indah Raya No.24, Turangga, Kec. Lengkong, Kota Bandung, Jawa Barat 402",Turangga,Binatu,Asia/Jakarta,"0851-7317-4898, +62 851-7317-4898",YES,554.0,5.0,https://search.google.com/local/reviews?placeid=ChIJzRSfTw7paC4RT_nTooYbfUY&q=la,https://www.google.com/maps?cid=5079246219815156047,-6.9442632,107.6349072,https://www.sorchalaundry.com/outlet-kami/sorcha-buah-batu-laundry-antar-jemput-,sorchalaundry.com,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipPa3BFBbDOfkXlWqxN4sMEPENJKgpl7Xf2d8NpZ
Sorcha Laundry Kosambi (Laundry Antar Jemput Bandung),"Jl. Samoja No.8, Samoja, Kec. Batununggal, Kota Bandung, Jawa Barat 40273",Samoja,Binatu,Asia/Jakarta,"0811-1111-2731, +62 811-1111-2731",YES,475.0,4.9,https://search.google.com/local/reviews?placeid=ChIJ5aFT3SnnaC4R0TlKawzcNQ4&q=la,https://www.google.com/maps?cid=1023966436194400721,-6.921617,107.6267069,https://www.sorchakosambi.com/,sorchakosambi.com,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipOp0BZc1bB7-ykpm2H7-MeDtd2gc55jfBnD5rl_
Laundry The Daily wash Cijerah,"Jl. Cijerah Kulon No.6, Cijerah, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40",Cijerah,Binatu,Asia/Jakarta,"0812-9931-9537, +62 812-9931-9537",NO,56.0,4.9,https://search.google.com/local/reviews?placeid=ChIJR6-kIB7laC4RlizUmgghEdY&q=la,https://www.google.com/maps?cid=15425146519561710742,-6.9262947,107.5641755,None,None,None,https://lh5.googleusercontent.com/p/AF1QipNna3Pbhu3zxzAOYdJSXDWKvId2aIQahWZ_C5bC
iLaund Digital Laundry,"Depan PT SU, Jl. Gempol Sari No.129, Gempolsari, Kec. Bandung Kulon, Kota Bandun",Jl. Gempol Sari No.129,Binatu,Asia/Jakarta,None,YES,69.0,4.8,https://search.google.com/local/reviews?placeid=ChIJG4LqzUnlaC4RHmN_5XShMMA&q=la,https://www.google.com/maps?cid=13848746377602884382,-6.9291782,107.5567264,None,None,"Sabtu: [09.00-20.00], Minggu: [09.00-20.00], Senin: [09.00-20.00], Selasa: [09.0",https://lh5.googleusercontent.com/p/AF1QipNtc9U8uld3b5okiysNjRfme9R4aIH-0YrDojz1
Kuma Laundry Melong Asih,"Jl. Melong Asih No.70, Cijerah, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 402",Cijerah,Layanan Binatu,Asia/Jakarta,"0897-6438-585, +62 897-6438-585",YES,16.0,4.9,https://search.google.com/local/reviews?placeid=ChIJP2rdi0nlaC4RXK1rERnPOoM&q=la,https://www.google.com/maps?cid=9456098074191179100,-6.9193396,107.5658364,None,None,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipMWE2fOST3XBVwz-o69R8hldGCIS1xEWWAP4io9
fast to clean Laundry,"Blok cibiuk No.166, Cijerah, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40531",Cijerah,Binatu Cucian Kering,Asia/Jakarta,"0821-1821-6988, +62 821-1821-6988",YES,None,None,None,https://www.google.com/maps?cid=3995448530078849232,-6.9248179,107.566874,None,None,"Sabtu: [Buka 24 jam], Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka",https://lh5.googleusercontent.com/p/AF1QipMLdbQzbx1WFe4307sjG9QLH3_JghwW-PkVL6fr
Hello Laundry Holis - Bandung,"Jl. Taman Holis Indah No.F1 - 4, Cigondewah Rahayu, Kec. Bandung Kulon, Kota Ban",Cigondewah Rahayu,"Binatu, Binatu Cucian Kering, Layanan Binatu",Asia/Jakarta,"0895-3436-20011, +62 895-3436-20011",YES,12.0,5.0,https://search.google.com/local/reviews?placeid=ChIJWcHssjLvaC4RfmIY_Kzjlfg&q=la,https://www.google.com/maps?cid=17912473425039352446,-6.944446,107.5623824,https://www.instagram.com/hellolaundrybdg?igsh=MjRvNmZjcXNmNzVu,instagram.com,"Sabtu: [07.30-16.30], Minggu: [Tutup], Senin: [06.00-19.00], Selasa: [06.00-19.0",https://lh5.googleusercontent.com/p/AF1QipOE9LJA1fN3sBAmnKNlcavzWnuTkwRXyU6NYMav
Setya Laundry,"Jl. Melong Asih, Cijerah, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40213",Cijerah,Binatu Cucian Kering,Asia/Jakarta,"0818-619-798, +62 818-619-798",YES,2.0,5.0,https://search.google.com/local/reviews?placeid=ChIJq1Li6MDlaC4RUJfOMrZrmY8&q=la,https://www.google.com/maps?cid=10347420049141045072,-6.9197761,107.567716,None,None,"Sabtu: [07.00-21.00], Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipMX86JjGcpNIoK_nBihKs3TjNUl0s16ic50EU0R
PUTRI LAUNDRY,"Gg. Manunggal IIC No.58, Cijerah, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 4",Cijerah,Layanan Binatu,Asia/Jakarta,"(022) 6022052, +62 22 6022052",YES,2.0,5.0,https://search.google.com/local/reviews?placeid=ChIJk81djanlaC4ReQmCCv8XNGw&q=la,https://www.google.com/maps?cid=7796883239045564793,-6.9113511,107.5685771,None,None,"Sabtu: [07.30-20.00], Minggu: [07.30-20.00], Senin: [07.30-20.00], Selasa: [07.3",https://lh5.googleusercontent.com/p/AF1QipNF94IJam7v89Pl1hD3u59u1heFIe4juYlocJPG
Gajah Laundry Bandung,"Jl. Wayang No.8, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",Malabar,Binatu,Asia/Jakarta,"0822-2888-3434, +62 822-2888-3434",YES,73.0,4.8,https://search.google.com/local/reviews?placeid=ChIJDUnSuCrmaC4RYtzzoJv282U&q=la,https://www.google.com/maps?cid=7346486565452110946,-6.926835,107.6203022,https://gajahlaundrybandung.blogspot.com/,gajahlaundrybandung.blogspot.com,"Sabtu: [08.00-17.00], Minggu: [Tutup], Senin: [08.00-17.00], Selasa: [08.00-17.0",https://lh5.googleusercontent.com/p/AF1QipM5I-KTqYb9qTK5zCKqUhKbMYQPtzKGi3xojdQ-
Sorcha Laundry Gasibu (Laundry Antar Jemput Bandung),"Jl. Haur Pancuh No.01 Blok C, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa B",Lebakgede,Binatu,Asia/Jakarta,"0851-7305-1808, +62 851-7305-1808",YES,303.0,4.9,https://search.google.com/local/reviews?placeid=ChIJ6z-wB-DnaC4REZCaFUNWvmc&q=la,https://www.google.com/maps?cid=7475507277606850577,-6.893399,107.6193419,http://sorchalaundry.com/,sorchalaundry.com,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipPBm61NEkLVujnKINjtyh_pgwltgo-ceuD5S-z3
Sorcha Laundry Cikutra - Laundry Antar Jemput Bandung,"Jl. Terusan Batik Halus No.12A, Sukaluyu, Kec. Cibeunying Kaler, Kota Bandung, J",Sukaluyu,Layanan Binatu,Asia/Jakarta,"0851-7305-1808, +62 851-7305-1808",YES,192.0,4.9,https://search.google.com/local/reviews?placeid=ChIJ1dw-sMvnaC4RCwLTAeghEpk&q=la,https://www.google.com/maps?cid=11029915717730501131,-6.8924435,107.6291259,http://sorchalaundry.com/,sorchalaundry.com,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipPo1QkoPjdj94KcRiU0TjMlZY1G_5JQLztobaXW
SPEED LAUNDRY (cabang),"Gg. Nangkasuni No.19, RT.04/RW.18, Tamansari, Kec. Bandung Wetan, Kota Bandung, ","RT.04/RW.18, Tamansari",Binatu,Asia/Jakarta,"0822-1918-6400, +62 822-1918-6400",YES,39.0,4.9,https://search.google.com/local/reviews?placeid=ChIJR4w1A0fmaC4Ri3wbuK4Uz_8&q=la,https://www.google.com/maps?cid=18432974540496403595,-6.9054308,107.6060119,None,None,"Sabtu: [08.00-17.00], Minggu: [08.00-17.00], Senin: [08.00-17.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipMJ_wR4M05WAnzO4drssLo13wlHZRNwhvQijJXr
LaundryKlin Cihampelas (Laundry Antar Jemput Bandung),"Jl. Cihampelas No.193 A, Cipaganti, Kecamatan Coblong, Kota Bandung, Jawa Barat ",Cipaganti,Layanan Binatu,Asia/Jakarta,"0812-2162-2021, +62 812-2162-2021",YES,1237.0,4.9,https://search.google.com/local/reviews?placeid=ChIJm83ctkHnaC4RXQZ_gOAj3Hk&q=la,https://www.google.com/maps?cid=8780932820601079389,-6.8879842,107.603806,http://laundryklincihampelas.com/,laundryklincihampelas.com,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipP0NmfEBMwudXEZaRlJx5REfqv0iWBiDipfnSJd
Sorcha Laundry Pajajaran (Laundry Antar Jemput Bandung),"Jl. Rama No.26b, Arjuna, Kec. Cicendo, Kota Bandung, Jawa Barat 40172",Arjuna,"Binatu, Layanan Binatu",Asia/Jakarta,"0811-1111-2731, +62 811-1111-2731",YES,547.0,4.9,https://search.google.com/local/reviews?placeid=ChIJrQA_9vvnaC4RvLQVfucpCvQ&q=la,https://www.google.com/maps?cid=17584913769251058876,-6.908127,107.5905427,http://sorchalaundry.com/,sorchalaundry.com,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipNghxF6CXyL9FuXrUzlLrriAkAMgFgFeF1UJTW6
Alam laundry,"Jl. Bagusrangin Gg. 2 No.50/50, RT.007, rw007, Kecamatan Coblong, Kota Bandung, ","RT.007, rw007","Layanan Binatu, Binatu Cucian Kering, Jasa Semir Sepatu",Asia/Jakarta,"0878-2315-9644, +62 878-2315-9644",YES,129.0,5.0,https://search.google.com/local/reviews?placeid=ChIJS9cPk-rnaC4RAGuKZyenLDg&q=la,https://www.google.com/maps?cid=4047793952781921024,-6.8962483,107.6178562,None,None,"Sabtu: [Buka 24 jam], Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p9RDNFYXUPyXuwT3R
5asec Bandung,"Jalan R.E. Martadinata No.58 Babakan Ciamis, Citarum, Kec. Bandung Wetan, Kota B",Citarum,"Layanan Binatu, Binatu Cucian Kering, Binatu",Asia/Jakarta,"(022) 4238907, +62 22 4238907",YES,372.0,4.5,https://search.google.com/local/reviews?placeid=ChIJTWzSv0rmaC4RvyWNfL6FO-s&q=la,https://www.google.com/maps?cid=16950288675718899135,-6.9059848,107.6201324,http://www.5asecindonesia.com/,5asecindonesia.com,"Sabtu: [08.00-19.00], Minggu: [Tutup], Senin: [08.00-19.00], Selasa: [08.00-19.0",https://lh5.googleusercontent.com/p/AF1QipPo3m3NP64WZecVPfnrrz777OnOGUIHb9GWe8xE
Sorcha Laundry Kiaracondong (Laundry Antar Jemput Bandung),"Jl. Babakan Sari No.152 A, Babakan Sari, Kec. Kiaracondong, Kota Bandung, Jawa B",Babakan Sari,Binatu,Asia/Jakarta,"0811-1111-2731, +62 811-1111-2731",YES,239.0,5.0,https://search.google.com/local/reviews?placeid=ChIJrxrPyQ7naC4RPb-4qniwEX8&q=la,https://www.google.com/maps?cid=9156293549727727421,-6.9256106,107.6580222,None,None,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipNKHB5ZbC84mdZvEXsIfI6aY1VTLCCTEBG7EtFF
Laundry She Bee Bee,"Gg. Lurah Hormat No.29, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat ",Tamansari,Binatu Cucian Kering,Asia/Jakarta,"0856-2230-053, +62 856-2230-053",YES,25.0,4.8,https://search.google.com/local/reviews?placeid=ChIJk2bZ9VrmaC4Ri64Yfs_EO4o&q=la,https://www.google.com/maps?cid=9960771396312805003,-6.9013506,107.6082618,None,None,"Sabtu: [08.00-18.00], Minggu: [08.00-18.00], Senin: [08.00-20.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipNqotgGgK_LJKY5hiJjT2JzZrqwfqvfjcAxlNoG
Bubble Laundry,"Jl. Kebon Bibit No.9, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40",Tamansari,Layanan Binatu,Asia/Jakarta,"0821-2729-1776, +62 821-2729-1776",YES,17.0,4.6,https://search.google.com/local/reviews?placeid=ChIJGUlELkXmaC4RzzX62MHWwNs&q=la,https://www.google.com/maps?cid=15834892417891972559,-6.8979595,107.6074048,None,None,"Sabtu: [07.00-21.00], Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.0",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Usffxl7E_qpivgZtT
LaundryKlin Batununggal,"Jl. Batununggal Indah IV No.35, Batununggal, Kec. Bandung Kidul, Kota Bandung, J",Batununggal,Binatu,Asia/Jakarta,"0851-5691-8485, +62 851-5691-8485",YES,1.0,5.0,https://search.google.com/local/reviews?placeid=ChIJBXSXwIrpaC4Rwi7OgGBTvYc&q=la,https://www.google.com/maps?cid=9781065639661547202,-6.956193,107.6285448,https://www.instagram.com/laundryklin_batununggal/,instagram.com,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipNU6he2xuwU0vu_UOjjjVhw60uK50hnjaXniJw1
Laundry Cafe Batununggal,"Jl. Batununggal Indah IV No.39, Batununggal, Kec. Bandung Kidul, Kota Bandung, J",Batununggal,Layanan Binatu,Asia/Jakarta,"0821-2135-3599, +62 821-2135-3599",YES,7.0,4.4,https://search.google.com/local/reviews?placeid=ChIJK1J2ws_paC4RFwxoMrCLt3A&q=la,https://www.google.com/maps?cid=8122114041862163479,-6.9563295,107.6285647,None,None,"Sabtu: [08.00-17.00], Minggu: [Tutup], Senin: [07.00-17.00], Selasa: [07.00-17.0",https://lh5.googleusercontent.com/p/AF1QipNrCWHp8R3iBiZpyJSpCB7xibaqlfz63iOg8IYL
Laundry Cuci Kiloan D'billaz Bandung,"Jl. Maleer Indah III No.40, Maleer, Kec. Batununggal, Kota Bandung, Jawa Barat 4",Maleer,Layanan Binatu,Asia/Jakarta,"0812-9300-0157, +62 812-9300-0157",YES,40.0,4.7,https://search.google.com/local/reviews?placeid=ChIJhbV4uZ3naC4RZ92cgt6iMVc&q=la,https://www.google.com/maps?cid=6282982031716310375,-6.925321599999999,107.6386062,https://laundrydbillaz.com/,laundrydbillaz.com,"Sabtu: [08.00-17.00], Minggu: [09.00-17.00], Senin: [08.00-17.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipNiquA6rG7VBpv-ifPiOaWrYXp1UzDm8vW271D7
Waroenk laundry Batu Indah | Laundry Express 2 jam beres | wash dry fold,"Jl. Batu Indah Raya No.36, Batununggal, Kec. Bandung Kidul, Kota Bandung, Jawa B",Batununggal,Layanan Binatu,Asia/Jakarta,"0811-1319-500, +62 811-1319-500",YES,92.0,4.9,https://search.google.com/local/reviews?placeid=ChIJa9YEjcXpaC4R79a2KvrQD2A&q=la,https://www.google.com/maps?cid=6921980925168768751,-6.9535013,107.6339794,None,None,"Sabtu: [07.00-19.00], Minggu: [07.00-19.00], Senin: [07.00-19.00], Selasa: [10.0",https://lh5.googleusercontent.com/p/AF1QipP67vVMkv_hXuHuWkr1WT5kQp3vD47rxonXTuoo
Simple Fresh Laundry 2 - FREE PICK UP & DELIVERY SERVICE,"Jl. Babakan Tarogong No.9, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa B",Suka Asih,Binatu,Asia/Jakarta,"0822-4951-1827, +62 822-4951-1827",YES,15.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ-5jiayjpaC4RO0VWAsyBhi8&q=la,https://www.google.com/maps?cid=3424567279874360635,-6.9363547,107.5944566,None,None,"Sabtu: [08.00-19.00], Minggu: [08.00-19.00], Senin: [08.00-19.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipNpUthidiaM85i3Dy6TiSejssrKNkNCfk-HWNJb
